geography,date,sex,age,isced11,Population_in_thousands,Country_Name,Life_expectancy_in_years
AT,2018,F,Y25-64,TOTAL,2440.6,Austria,84.1
AT,2018,F,Y15-64,ED0-2,614.5,Austria,84.1
AT,2018,F,Y50-54,TOTAL,354.2,Austria,84.1
AT,2018,F,Y25-49,ED0-2,203.2,Austria,84.1
AT,2018,F,Y25-49,ED5-8,581,Austria,84.1
AT,2018,F,Y20-64,ED5-8,858.8,Austria,84.1
AT,2018,F,Y35-39,ED5-8,124.9,Austria,84.1
AT,2018,F,Y20-24,ED0-2,24.6,Austria,84.1
AT,2018,F,Y30-34,TOTAL,293.5,Austria,84.1
AT,2018,F,Y15-39,ED5-8,476.8,Austria,84.1
AT,2018,F,Y20-64,ED0-2,465.3,Austria,84.1
AT,2018,F,Y15-74,ED3_4,1642.8,Austria,84.1
AT,2018,F,Y25-29,ED3_4,126.8,Austria,84.1
AT,2018,F,Y50-54,ED0-2,71.7,Austria,84.1
AT,2018,F,Y45-49,ED3_4,171.5,Austria,84.1
AT,2018,F,Y55-59,TOTAL,326.2,Austria,84.1
AT,2018,F,Y40-59,ED3_4,689.8,Austria,84.1
AT,2018,F,Y50-54,ED5-8,84.4,Austria,84.1
AT,2018,F,Y15-39,ED0-2,272,Austria,84.1
AT,2018,F,Y25-49,TOTAL,1488.7,Austria,84.1
AT,2018,F,Y60-64,ED0-2,82.8,Austria,84.1
AT,2018,F,Y15-19,TOTAL,210.4,Austria,84.1
AT,2018,F,Y15-24,ED0-2,173.8,Austria,84.1
AT,2018,F,Y50-74,TOTAL,1390.5,Austria,84.1
AT,2018,F,Y25-74,ED0-2,606.1,Austria,84.1
AT,2018,F,Y25-29,TOTAL,291,Austria,84.1
AT,2018,F,Y20-24,TOTAL,255.3,Austria,84.1
AT,2018,F,Y40-59,TOTAL,1292.6,Austria,84.1
AT,2018,F,Y15-39,ED3_4,593.4,Austria,84.1
AT,2018,F,Y40-64,TOTAL,1564.1,Austria,84.1
AT,2018,F,Y25-59,ED5-8,730.4,Austria,84.1
AT,2018,F,Y25-64,ED3_4,1224.6,Austria,84.1
AT,2018,F,Y40-64,ED5-8,388.1,Austria,84.1
AT,2018,M,Y30-34,TOTAL,298.7,Austria,79.4
AT,2018,M,Y55-59,ED3_4,185.9,Austria,79.4
AT,2018,M,Y15-24,ED3_4,199.7,Austria,79.4
AT,2018,M,Y15-64,ED3_4,1537.3,Austria,79.4
AT,2018,M,Y40-64,ED5-8,486.1,Austria,79.4
AT,2018,M,Y25-64,ED0-2,275.7,Austria,79.4
AT,2018,M,Y20-64,ED0-2,312.7,Austria,79.4
AT,2018,M,Y20-24,ED3_4,159.3,Austria,79.4
AT,2018,M,Y25-49,TOTAL,1497.9,Austria,79.4
AT,2018,M,Y55-59,TOTAL,322.8,Austria,79.4
AT,2018,M,Y55-59,ED0-2,39.1,Austria,79.4
AT,2018,M,Y15-64,TOTAL,2902.5,Austria,79.4
AT,2018,M,Y25-59,TOTAL,2176.7,Austria,79.4
AT,2018,M,Y50-64,ED5-8,283.4,Austria,79.4
AT,2018,M,Y15-74,ED5-8,990.2,Austria,79.4
AT,2018,M,Y50-54,ED3_4,208.2,Austria,79.4
AT,2018,M,Y65-69,TOTAL,209.3,Austria,79.4
AT,2018,M,Y25-54,ED5-8,648.3,Austria,79.4
AT,2018,M,Y15-59,ED5-8,810.9,Austria,79.4
AT,2018,M,Y25-74,ED3_4,1546.2,Austria,79.4
AT,2018,M,Y20-64,TOTAL,2690.8,Austria,79.4
AT,2018,M,Y25-59,ED3_4,1191.6,Austria,79.4
AT,2018,M,Y15-74,ED0-2,548.6,Austria,79.4
AT,2018,M,Y50-64,ED0-2,110.5,Austria,79.4
AT,2018,M,Y40-64,ED0-2,179.6,Austria,79.4
AT,2018,M,Y65-69,ED0-2,37.3,Austria,79.4
AT,2018,M,Y25-39,TOTAL,893.2,Austria,79.4
AT,2018,M,Y45-49,ED3_4,180.4,Austria,79.4
AT,2018,M,Y25-54,ED0-2,199.8,Austria,79.4
AT,2018,M,Y60-64,TOTAL,255,Austria,79.4
AT,2018,M,Y45-49,TOTAL,324.2,Austria,79.4
AT,2018,M,Y25-64,ED5-8,818.4,Austria,79.4
AT,2018,M,Y50-54,TOTAL,356,Austria,79.4
AT,2018,M,Y15-39,ED0-2,302.4,Austria,79.4
AT,2018,M,Y40-44,ED5-8,95.2,Austria,79.4
AT,2018,M,Y15-59,TOTAL,2647.5,Austria,79.4
AT,2018,M,Y50-74,ED3_4,748.7,Austria,79.4
AT,2018,M,Y50-59,TOTAL,678.8,Austria,79.4
AT,2018,M,Y15-24,ED5-8,64.8,Austria,79.4
AT,2018,M,Y20-24,TOTAL,259.1,Austria,79.4
AT,2018,M,Y50-59,ED0-2,73.7,Austria,79.4
AT,2018,M,Y25-59,ED5-8,746.1,Austria,79.4
AT,2018,M,Y40-44,ED0-2,32.9,Austria,79.4
AT,2018,M,Y35-39,ED0-2,27.3,Austria,79.4
AT,2018,M,Y15-19,ED0-2,169.2,Austria,79.4
AT,2018,M,Y30-34,ED0-2,33.4,Austria,79.4
AT,2018,M,Y20-64,ED3_4,1496.9,Austria,79.4
AT,2018,M,Y35-39,ED5-8,116,Austria,79.4
AT,2018,M,Y50-64,TOTAL,933.9,Austria,79.4
AT,2018,M,Y25-59,ED0-2,239,Austria,79.4
AT,2018,M,Y40-59,ED5-8,413.8,Austria,79.4
AT,2018,M,Y25-29,ED5-8,105.2,Austria,79.4
AT,2018,M,Y40-64,TOTAL,1538.5,Austria,79.4
AT,2018,M,Y25-39,ED3_4,464.7,Austria,79.4
AT,2018,M,Y50-59,ED5-8,211,Austria,79.4
AT,2018,M,Y25-54,TOTAL,1853.9,Austria,79.4
AT,2018,M,Y45-49,ED0-2,36.3,Austria,79.4
AT,2018,M,Y20-24,ED0-2,37,Austria,79.4
AT,2018,M,Y60-64,ED3_4,145.9,Austria,79.4
AT,2018,M,Y15-39,ED3_4,664.5,Austria,79.4
AT,2018,M,Y15-59,ED0-2,445.2,Austria,79.4
AT,2018,M,Y25-74,TOTAL,2814,Austria,79.4
AT,2018,M,Y20-24,ED5-8,62.7,Austria,79.4
AT,2018,M,Y25-29,TOTAL,300.1,Austria,79.4
AT,2018,M,Y50-64,ED3_4,540,Austria,79.4
AT,2018,M,Y35-39,TOTAL,294.4,Austria,79.4
AT,2018,M,Y20-64,ED5-8,881.2,Austria,79.4
AT,2018,M,Y65-69,ED5-8,60,Austria,79.4
AT,2018,M,Y30-34,ED5-8,111.1,Austria,79.4
AT,2018,M,Y15-24,ED0-2,206.2,Austria,79.4
AT,2018,M,Y60-64,ED0-2,36.8,Austria,79.4
AT,2018,M,Y45-49,ED5-8,107.6,Austria,79.4
AT,2018,M,Y40-59,ED3_4,726.9,Austria,79.4
AT,2018,M,Y50-74,ED5-8,390.3,Austria,79.4
AT,2018,M,Y25-29,ED0-2,35.5,Austria,79.4
AT,2018,M,Y25-64,TOTAL,2431.7,Austria,79.4
AT,2018,M,Y50-59,ED3_4,394.1,Austria,79.4
AT,2018,M,Y15-39,TOTAL,1364,Austria,79.4
AT,2018,M,Y35-39,ED3_4,151.1,Austria,79.4
AT,2018,M,Y25-54,ED3_4,1005.7,Austria,79.4
AT,2018,M,Y40-44,TOTAL,280.5,Austria,79.4
AT,2018,M,Y55-64,ED3_4,331.9,Austria,79.4
AT,2018,M,Y55-64,TOTAL,577.8,Austria,79.4
AT,2018,M,Y25-49,ED0-2,165.2,Austria,79.4
AT,2018,M,Y25-29,ED3_4,159.5,Austria,79.4
AT,2018,M,Y25-49,ED5-8,535.1,Austria,79.4
AT,2018,M,Y50-74,ED0-2,177.1,Austria,79.4
AT,2018,M,Y40-59,ED0-2,142.8,Austria,79.4
AT,2018,M,Y40-59,TOTAL,1283.5,Austria,79.4
AT,2018,M,Y15-64,ED5-8,883.2,Austria,79.4
AT,2018,M,Y15-39,ED5-8,397.1,Austria,79.4
AT,2018,M,Y15-59,ED3_4,1391.4,Austria,79.4
AT,2018,M,Y40-44,ED3_4,152.4,Austria,79.4
AT,2018,M,Y15-74,ED3_4,1745.9,Austria,79.4
AT,2018,M,Y25-49,ED3_4,797.5,Austria,79.4
AT,2018,M,Y55-64,ED5-8,170.1,Austria,79.4
AT,2018,M,Y60-64,ED5-8,72.3,Austria,79.4
AT,2018,M,Y15-24,TOTAL,470.8,Austria,79.4
AT,2018,M,Y50-74,TOTAL,1316.1,Austria,79.4
AT,2018,M,Y55-64,ED0-2,75.9,Austria,79.4
AT,2018,M,Y25-39,ED0-2,96.1,Austria,79.4
AT,2018,M,Y25-39,ED5-8,332.3,Austria,79.4
AT,2018,M,Y65-69,ED3_4,112,Austria,79.4
AT,2018,M,Y15-74,TOTAL,3284.8,Austria,79.4
AT,2018,M,Y25-74,ED0-2,342.4,Austria,79.4
AT,2018,M,Y15-19,TOTAL,211.7,Austria,79.4
AT,2018,M,Y30-34,ED3_4,154.2,Austria,79.4
AT,2018,M,Y25-64,ED3_4,1337.6,Austria,79.4
AT,2018,M,Y50-54,ED5-8,113.2,Austria,79.4
AT,2018,M,Y15-64,ED0-2,481.9,Austria,79.4
AT,2018,M,Y50-54,ED0-2,34.6,Austria,79.4
AT,2018,M,Y55-59,ED5-8,97.8,Austria,79.4
AT,2018,M,Y40-64,ED3_4,872.8,Austria,79.4
AT,2018,M,Y25-74,ED5-8,925.4,Austria,79.4
AT,2018,M,Y15-19,ED3_4,40.4,Austria,79.4
AT,2019,F,Y50-64,ED5-8,218.9,Austria,84.2
AT,2019,F,Y20-64,ED5-8,899.5,Austria,84.2
AT,2019,F,Y15-64,ED0-2,597.9,Austria,84.2
AT,2019,F,Y55-64,ED5-8,124.9,Austria,84.2
AT,2019,F,Y15-74,ED5-8,969.3,Austria,84.2
AT,2019,F,Y25-74,TOTAL,2894.8,Austria,84.2
AT,2019,F,Y55-59,TOTAL,336.2,Austria,84.2
AT,2019,F,Y15-74,ED0-2,752.9,Austria,84.2
AT,2019,F,Y25-29,ED3_4,129,Austria,84.2
AT,2019,F,Y40-44,ED0-2,40.5,Austria,84.2
AT,2019,F,Y60-64,ED3_4,148.8,Austria,84.2
AT,2019,F,Y60-64,ED0-2,80.4,Austria,84.2
AT,2019,F,Y65-69,ED0-2,77.7,Austria,84.2
AT,2019,F,Y55-59,ED0-2,78.7,Austria,84.2
AT,2019,F,Y25-59,ED5-8,766.1,Austria,84.2
AT,2019,F,Y40-44,TOTAL,281.2,Austria,84.2
AT,2019,F,Y60-64,ED5-8,52.5,Austria,84.2
AT,2019,F,Y15-59,ED3_4,1258.6,Austria,84.2
AT,2019,F,Y35-39,ED5-8,128,Austria,84.2
AT,2019,F,Y25-64,TOTAL,2454,Austria,84.2
AT,2019,F,Y15-64,TOTAL,2911.7,Austria,84.2
AT,2019,F,Y40-59,ED5-8,369.3,Austria,84.2
AT,2019,F,Y15-39,ED5-8,484.7,Austria,84.2
AT,2019,F,Y40-64,ED0-2,323.9,Austria,84.2
AT,2019,F,Y15-24,ED3_4,196,Austria,84.2
AT,2019,F,Y25-39,TOTAL,883,Austria,84.2
AT,2019,F,Y55-64,ED3_4,333.9,Austria,84.2
AT,2019,F,Y50-54,ED3_4,190.9,Austria,84.2
AT,2019,F,Y35-39,TOTAL,297.6,Austria,84.2
AT,2019,F,Y50-54,TOTAL,353.8,Austria,84.2
AT,2019,F,Y25-74,ED3_4,1434.3,Austria,84.2
AT,2019,F,Y40-44,ED5-8,101.2,Austria,84.2
AT,2019,F,Y65-69,TOTAL,233.3,Austria,84.2
AT,2019,F,Y25-54,ED3_4,877.4,Austria,84.2
AT,2019,F,Y25-49,ED5-8,599.7,Austria,84.2
AT,2019,F,Y35-39,ED0-2,38,Austria,84.2
AT,2019,F,Y40-64,ED5-8,421.8,Austria,84.2
AT,2019,F,Y25-64,ED0-2,424.1,Austria,84.2
AT,2019,F,Y50-59,ED5-8,166.4,Austria,84.2
AT,2019,F,Y15-39,ED0-2,274,Austria,84.2
AT,2019,F,Y20-24,ED3_4,143.6,Austria,84.2
AT,2019,F,Y15-24,TOTAL,457.6,Austria,84.2
AT,2019,F,Y65-69,ED5-8,34.3,Austria,84.2
AT,2019,F,Y15-24,ED0-2,173.8,Austria,84.2
AT,2019,F,Y15-59,TOTAL,2630,Austria,84.2
AT,2019,F,Y25-54,TOTAL,1836.1,Austria,84.2
AT,2019,F,Y20-64,TOTAL,2702.8,Austria,84.2
AT,2019,F,Y25-74,ED0-2,579.1,Austria,84.2
AT,2019,F,Y20-64,ED0-2,448.4,Austria,84.2
AT,2019,F,Y30-34,TOTAL,295,Austria,84.2
AT,2019,F,Y55-59,ED3_4,185.2,Austria,84.2
AT,2019,F,Y25-39,ED5-8,396.8,Austria,84.2
AT,2019,F,Y15-64,ED5-8,906.4,Austria,84.2
AT,2019,F,Y15-64,ED3_4,1407.3,Austria,84.2
AT,2019,F,Y15-19,ED3_4,52.4,Austria,84.2
AT,2019,F,Y40-44,ED3_4,139.5,Austria,84.2
AT,2019,F,Y50-74,ED5-8,281.7,Austria,84.2
AT,2019,F,Y25-59,ED0-2,343.7,Austria,84.2
AT,2019,F,Y40-59,ED3_4,676.7,Austria,84.2
AT,2019,F,Y25-49,TOTAL,1482.3,Austria,84.2
AT,2019,F,Y50-54,ED5-8,94,Austria,84.2
AT,2019,F,Y15-74,TOTAL,3352.5,Austria,84.2
AT,2019,F,Y50-64,TOTAL,971.7,Austria,84.2
AT,2019,F,Y30-34,ED3_4,125.2,Austria,84.2
AT,2019,F,Y25-74,ED5-8,881.5,Austria,84.2
AT,2019,F,Y50-54,ED0-2,68.9,Austria,84.2
AT,2019,F,Y40-64,ED3_4,825.4,Austria,84.2
AT,2019,F,Y25-64,ED5-8,818.6,Austria,84.2
AT,2019,F,Y50-74,TOTAL,1412.5,Austria,84.2
AT,2019,F,Y50-74,ED0-2,382.9,Austria,84.2
AT,2019,F,Y50-74,ED3_4,747.8,Austria,84.2
AT,2019,F,Y25-39,ED0-2,100.2,Austria,84.2
AT,2019,F,Y25-54,ED5-8,693.7,Austria,84.2
AT,2019,F,Y25-49,ED0-2,196.1,Austria,84.2
AT,2019,F,Y15-39,ED3_4,581.9,Austria,84.2
AT,2019,F,Y25-59,TOTAL,2172.3,Austria,84.2
AT,2019,F,Y30-34,ED0-2,35.2,Austria,84.2
AT,2019,F,Y45-49,ED3_4,161.1,Austria,84.2
AT,2019,F,Y50-64,ED3_4,524.9,Austria,84.2
AT,2019,F,Y40-64,TOTAL,1571.1,Austria,84.2
AT,2019,F,Y20-24,ED5-8,80.9,Austria,84.2
AT,2019,F,Y35-39,ED3_4,131.7,Austria,84.2
AT,2019,F,Y55-64,ED0-2,159.1,Austria,84.2
AT,2019,F,Y25-64,ED3_4,1211.3,Austria,84.2
AT,2019,F,Y20-24,TOTAL,248.8,Austria,84.2
AT,2019,F,Y15-59,ED5-8,854,Austria,84.2
AT,2019,F,Y45-49,ED5-8,101.7,Austria,84.2
AT,2019,F,Y50-59,ED0-2,147.5,Austria,84.2
AT,2019,F,Y50-59,TOTAL,690,Austria,84.2
AT,2019,F,Y15-59,ED0-2,517.5,Austria,84.2
AT,2019,F,Y25-59,ED3_4,1062.6,Austria,84.2
AT,2019,F,Y25-29,ED0-2,27,Austria,84.2
AT,2019,F,Y60-64,TOTAL,281.7,Austria,84.2
AT,2019,F,Y25-39,ED3_4,385.9,Austria,84.2
AT,2019,F,Y25-29,ED5-8,134.4,Austria,84.2
AT,2019,F,Y55-59,ED5-8,72.4,Austria,84.2
AT,2019,F,Y25-49,ED3_4,686.5,Austria,84.2
AT,2019,F,Y65-69,ED3_4,121.3,Austria,84.2
AT,2019,F,Y50-59,ED3_4,376.1,Austria,84.2
AT,2019,F,Y15-74,ED3_4,1630.3,Austria,84.2
AT,2019,F,Y15-19,TOTAL,208.8,Austria,84.2
AT,2019,F,Y25-29,TOTAL,290.4,Austria,84.2
AT,2019,F,Y40-59,ED0-2,243.4,Austria,84.2
AT,2019,F,Y15-19,ED0-2,149.6,Austria,84.2
AT,2019,F,Y15-24,ED5-8,87.8,Austria,84.2
AT,2019,F,Y15-39,TOTAL,1340.6,Austria,84.2
AT,2019,F,Y30-34,ED5-8,134.5,Austria,84.2
AT,2019,F,Y50-64,ED0-2,228,Austria,84.2
AT,2019,F,Y45-49,ED0-2,55.4,Austria,84.2
AT,2019,F,Y15-19,ED5-8,6.9,Austria,84.2
AT,2019,F,Y45-49,TOTAL,318.2,Austria,84.2
AT,2019,F,Y40-59,TOTAL,1289.4,Austria,84.2
AT,2019,F,Y55-64,TOTAL,617.9,Austria,84.2
AT,2019,F,Y20-24,ED0-2,24.2,Austria,84.2
AT,2019,F,Y20-64,ED3_4,1354.9,Austria,84.2
AT,2019,F,Y25-54,ED0-2,265,Austria,84.2
AT,2019,M,Y40-44,ED3_4,148.6,Austria,79.7
AT,2019,M,Y15-59,ED3_4,1364.3,Austria,79.7
AT,2019,M,Y50-59,TOTAL,689.2,Austria,79.7
AT,2019,M,Y25-39,ED5-8,342.8,Austria,79.7
AT,2019,M,Y35-39,TOTAL,300.1,Austria,79.7
AT,2019,M,Y20-64,ED5-8,900.5,Austria,79.7
AT,2019,M,Y25-74,ED3_4,1538.8,Austria,79.7
AT,2019,M,Y15-59,ED0-2,453.3,Austria,79.7
AT,2019,M,Y15-74,TOTAL,3292.8,Austria,79.7
AT,2019,M,Y25-49,ED0-2,161.6,Austria,79.7
AT,2019,M,Y55-64,ED5-8,181.4,Austria,79.7
AT,2019,M,Y40-59,TOTAL,1281.2,Austria,79.7
AT,2019,M,Y25-59,TOTAL,2183.1,Austria,79.7
AT,2019,M,Y25-59,ED3_4,1179.3,Austria,79.7
AT,2019,M,Y15-64,ED0-2,491,Austria,79.7
AT,2019,M,Y45-49,ED3_4,175.3,Austria,79.7
AT,2019,M,Y35-39,ED3_4,151.3,Austria,79.7
AT,2019,M,Y40-59,ED5-8,415.1,Austria,79.7
AT,2019,M,Y15-74,ED3_4,1723.8,Austria,79.7
AT,2019,M,Y40-59,ED3_4,714.4,Austria,79.7
AT,2019,M,Y25-59,ED0-2,246,Austria,79.7
AT,2019,M,Y25-54,TOTAL,1849.7,Austria,79.7
AT,2019,M,Y15-19,TOTAL,208.3,Austria,79.7
AT,2019,M,Y25-64,ED5-8,837.4,Austria,79.7
AT,2019,M,Y45-49,TOTAL,311.9,Austria,79.7
AT,2019,M,Y55-59,ED3_4,189.7,Austria,79.7
AT,2019,M,Y25-29,ED5-8,106.4,Austria,79.7
AT,2019,M,Y15-39,TOTAL,1360.2,Austria,79.7
AT,2019,M,Y25-54,ED5-8,656,Austria,79.7
AT,2019,M,Y25-29,ED0-2,30.4,Austria,79.7
AT,2019,M,Y45-49,ED5-8,101,Austria,79.7
AT,2019,M,Y65-69,TOTAL,209.2,Austria,79.7
AT,2019,M,Y25-64,TOTAL,2449.2,Austria,79.7
AT,2019,M,Y20-24,TOTAL,250,Austria,79.7
AT,2019,M,Y15-39,ED5-8,408.7,Austria,79.7
AT,2019,M,Y50-74,ED3_4,750,Austria,79.7
AT,2019,M,Y55-59,TOTAL,333.4,Austria,79.7
AT,2019,M,Y50-74,ED5-8,399.7,Austria,79.7
AT,2019,M,Y25-39,ED3_4,464.9,Austria,79.7
AT,2019,M,Y60-64,ED3_4,148.8,Austria,79.7
AT,2019,M,Y40-44,TOTAL,280.1,Austria,79.7
AT,2019,M,Y65-69,ED0-2,38.8,Austria,79.7
AT,2019,M,Y25-59,ED5-8,757.8,Austria,79.7
AT,2019,M,Y65-69,ED5-8,56.9,Austria,79.7
AT,2019,M,Y15-19,ED0-2,168.3,Austria,79.7
AT,2019,M,Y15-64,TOTAL,2907.5,Austria,79.7
AT,2019,M,Y50-59,ED3_4,390.5,Austria,79.7
AT,2019,M,Y25-29,ED3_4,163.1,Austria,79.7
AT,2019,M,Y35-39,ED5-8,117.6,Austria,79.7
AT,2019,M,Y15-59,ED5-8,823.8,Austria,79.7
AT,2019,M,Y20-64,ED3_4,1476,Austria,79.7
AT,2019,M,Y15-24,TOTAL,458.3,Austria,79.7
AT,2019,M,Y15-39,ED0-2,301.6,Austria,79.7
AT,2019,M,Y25-54,ED3_4,989.6,Austria,79.7
AT,2019,M,Y45-49,ED0-2,35.7,Austria,79.7
AT,2019,M,Y60-64,TOTAL,266.1,Austria,79.7
AT,2019,M,Y55-64,ED0-2,79.5,Austria,79.7
AT,2019,M,Y15-24,ED5-8,65.9,Austria,79.7
AT,2019,M,Y60-64,ED0-2,37.7,Austria,79.7
AT,2019,M,Y20-24,ED0-2,39,Austria,79.7
AT,2019,M,Y55-64,TOTAL,599.5,Austria,79.7
AT,2019,M,Y55-59,ED0-2,41.8,Austria,79.7
AT,2019,M,Y25-49,TOTAL,1494,Austria,79.7
AT,2019,M,Y20-64,TOTAL,2699.2,Austria,79.7
AT,2019,M,Y25-39,ED0-2,94.3,Austria,79.7
AT,2019,M,Y20-24,ED3_4,147.9,Austria,79.7
AT,2019,M,Y15-59,TOTAL,2641.4,Austria,79.7
AT,2019,M,Y50-54,ED5-8,112.4,Austria,79.7
AT,2019,M,Y40-44,ED0-2,31.7,Austria,79.7
AT,2019,M,Y40-64,ED0-2,189.4,Austria,79.7
AT,2019,M,Y25-64,ED3_4,1328.1,Austria,79.7
AT,2019,M,Y30-34,ED0-2,32.7,Austria,79.7
AT,2019,M,Y15-24,ED3_4,185,Austria,79.7
AT,2019,M,Y15-74,ED5-8,1009.2,Austria,79.7
AT,2019,M,Y50-59,ED5-8,214.3,Austria,79.7
AT,2019,M,Y50-64,ED3_4,539.3,Austria,79.7
AT,2019,M,Y25-49,ED5-8,543.6,Austria,79.7
AT,2019,M,Y40-64,TOTAL,1547.3,Austria,79.7
AT,2019,M,Y40-64,ED3_4,863.2,Austria,79.7
AT,2019,M,Y50-64,ED5-8,293.8,Austria,79.7
AT,2019,M,Y30-34,ED5-8,118.8,Austria,79.7
AT,2019,M,Y25-64,ED0-2,283.7,Austria,79.7
AT,2019,M,Y25-49,ED3_4,788.8,Austria,79.7
AT,2019,M,Y35-39,ED0-2,31.2,Austria,79.7
AT,2019,M,Y25-74,ED0-2,352.5,Austria,79.7
AT,2019,M,Y50-54,ED3_4,200.8,Austria,79.7
AT,2019,M,Y40-59,ED0-2,151.7,Austria,79.7
AT,2019,M,Y15-24,ED0-2,207.3,Austria,79.7
AT,2019,M,Y25-74,TOTAL,2834.5,Austria,79.7
AT,2019,M,Y50-59,ED0-2,84.4,Austria,79.7
AT,2019,M,Y20-64,ED0-2,322.7,Austria,79.7
AT,2019,M,Y15-39,ED3_4,649.9,Austria,79.7
AT,2019,M,Y25-74,ED5-8,943.3,Austria,79.7
AT,2019,M,Y50-54,ED0-2,42.5,Austria,79.7
AT,2019,M,Y55-64,ED3_4,338.5,Austria,79.7
AT,2019,M,Y40-64,ED5-8,494.6,Austria,79.7
AT,2019,M,Y55-59,ED5-8,101.8,Austria,79.7
AT,2019,M,Y15-64,ED3_4,1513.1,Austria,79.7
AT,2019,M,Y30-34,TOTAL,302,Austria,79.7
AT,2019,M,Y25-29,TOTAL,299.9,Austria,79.7
AT,2019,M,Y50-54,TOTAL,355.8,Austria,79.7
AT,2019,M,Y50-74,TOTAL,1340.5,Austria,79.7
AT,2019,M,Y15-19,ED3_4,37.2,Austria,79.7
AT,2019,M,Y20-24,ED5-8,63.1,Austria,79.7
AT,2019,M,Y60-64,ED5-8,79.6,Austria,79.7
AT,2019,M,Y15-64,ED5-8,903.4,Austria,79.7
AT,2019,M,Y15-74,ED0-2,559.7,Austria,79.7
AT,2019,M,Y25-39,TOTAL,901.9,Austria,79.7
AT,2019,M,Y30-34,ED3_4,150.5,Austria,79.7
AT,2019,M,Y40-44,ED5-8,99.8,Austria,79.7
AT,2019,M,Y50-74,ED0-2,190.8,Austria,79.7
AT,2019,M,Y50-64,ED0-2,122.1,Austria,79.7
AT,2019,M,Y65-69,ED3_4,113.5,Austria,79.7
AT,2019,M,Y25-54,ED0-2,204.2,Austria,79.7
AT,2019,M,Y50-64,TOTAL,955.2,Austria,79.7
BE,2008,F,Y30-34,ED0-2,48.4,Belgium,82.6
BE,2008,F,Y50-59,ED0-2,317.6,Belgium,82.6
BE,2008,F,Y25-49,ED5-8,754.3,Belgium,82.6
BE,2008,F,Y45-49,ED5-8,128,Belgium,82.6
BE,2008,F,Y55-59,ED3_4,104.1,Belgium,82.6
BE,2008,F,Y25-29,TOTAL,343.3,Belgium,82.6
BE,2008,F,Y50-54,ED5-8,93.8,Belgium,82.6
BE,2008,F,Y25-29,ED5-8,166,Belgium,82.6
BE,2008,F,Y15-74,TOTAL,4004,Belgium,82.6
BE,2008,F,Y50-64,ED5-8,222.7,Belgium,82.6
BE,2008,F,Y15-59,TOTAL,3209.9,Belgium,82.6
BE,2008,F,Y55-59,TOTAL,339.9,Belgium,82.6
BE,2008,F,Y15-19,TOTAL,319.8,Belgium,82.6
BE,2008,F,Y40-59,ED3_4,540.6,Belgium,82.6
BE,2008,F,Y15-39,TOTAL,1700,Belgium,82.6
BE,2008,F,Y25-29,ED3_4,128.2,Belgium,82.6
BE,2008,F,Y20-64,ED0-2,925.2,Belgium,82.6
BE,2008,F,Y55-59,ED0-2,164.5,Belgium,82.6
BE,2008,F,Y20-24,TOTAL,321.1,Belgium,82.6
BE,2008,F,Y50-59,ED3_4,229.4,Belgium,82.6
BE,2008,F,Y15-64,ED3_4,1289.4,Belgium,82.6
BE,2008,F,Y25-54,ED0-2,540.2,Belgium,82.6
BE,2008,F,Y25-39,TOTAL,1059.1,Belgium,82.6
BE,2008,F,Y50-54,TOTAL,372.1,Belgium,82.6
BE,2008,F,Y30-34,TOTAL,340.5,Belgium,82.6
BE,2008,F,Y15-59,ED3_4,1209.2,Belgium,82.6
BE,2008,F,Y60-64,ED0-2,168.9,Belgium,82.6
BE,2008,F,Y50-64,ED0-2,486.4,Belgium,82.6
BE,2008,F,Y15-24,ED5-8,89,Belgium,82.6
BE,2008,F,Y30-34,ED3_4,126.7,Belgium,82.6
BE,2008,F,Y40-44,ED0-2,94.9,Belgium,82.6
BE,2008,F,Y40-59,TOTAL,1509.9,Belgium,82.6
BE,2008,F,Y15-74,ED0-2,1487.8,Belgium,82.6
BE,2008,F,Y35-39,ED0-2,72.3,Belgium,82.6
BE,2008,F,Y65-69,ED3_4,52.3,Belgium,82.6
BE,2008,F,Y35-39,TOTAL,375.3,Belgium,82.6
BE,2008,F,Y15-24,ED3_4,264.3,Belgium,82.6
BE,2008,F,Y50-59,TOTAL,712.1,Belgium,82.6
BE,2008,F,Y50-74,ED5-8,280.5,Belgium,82.6
BE,2008,F,Y25-74,ED3_4,1128.1,Belgium,82.6
BE,2008,F,Y65-69,ED5-8,33.2,Belgium,82.6
BE,2008,F,Y15-39,ED5-8,574,Belgium,82.6
BE,2008,F,Y25-74,ED0-2,1200.2,Belgium,82.6
BE,2008,F,Y35-39,ED3_4,149.5,Belgium,82.6
BE,2008,F,Y25-59,ED5-8,919.4,Belgium,82.6
BE,2008,F,Y40-64,TOTAL,1816.5,Belgium,82.6
BE,2008,F,Y40-64,ED5-8,492,Belgium,82.6
BE,2008,F,Y15-24,TOTAL,640.9,Belgium,82.6
BE,2008,F,Y25-54,ED5-8,848.1,Belgium,82.6
BE,2008,F,Y25-39,ED0-2,169.8,Belgium,82.6
BE,2008,F,Y15-39,ED3_4,668.6,Belgium,82.6
BE,2008,F,Y60-64,ED5-8,57.6,Belgium,82.6
BE,2008,F,Y25-74,ED5-8,1034.7,Belgium,82.6
BE,2008,F,Y15-59,ED5-8,1008.4,Belgium,82.6
BE,2008,F,Y45-49,TOTAL,400.5,Belgium,82.6
