geography,date,sex,age,isced11,Population_in_thousands,Country_Name,Life_expectancy_in_years
AT,2008,F,Y50-59,ED5-8,63.5,Austria,83.3
AT,2008,F,Y25-59,ED5-8,332.7,Austria,83.3
AT,2008,F,Y50-54,ED3_4,151.5,Austria,83.3
AT,2008,F,Y15-19,TOTAL,242.4,Austria,83.3
AT,2008,F,Y15-59,TOTAL,2560.7,Austria,83.3
AT,2008,F,Y15-24,ED0-2,236.8,Austria,83.3
AT,2008,F,Y55-64,ED5-8,47.6,Austria,83.3
AT,2008,F,Y25-29,ED0-2,33.1,Austria,83.3
AT,2008,F,Y25-64,TOTAL,2291.8,Austria,83.3
AT,2008,F,Y50-54,ED0-2,91.6,Austria,83.3
AT,2008,F,Y25-39,ED5-8,166,Austria,83.3
AT,2008,F,Y25-29,ED3_4,186.6,Austria,83.3
AT,2008,F,Y65-69,TOTAL,248.4,Austria,83.3
AT,2008,F,Y15-64,ED3_4,1619.3,Austria,83.3
AT,2008,F,Y15-39,ED5-8,177.8,Austria,83.3
AT,2008,F,Y25-64,ED3_4,1371.9,Austria,83.3
AT,2008,F,Y50-74,TOTAL,1166.3,Austria,83.3
AT,2008,F,Y25-54,ED5-8,305.9,Austria,83.3
AT,2008,F,Y50-64,TOTAL,756.1,Austria,83.3
AT,2008,F,Y35-39,TOTAL,319.6,Austria,83.3
AT,2008,F,Y40-64,ED3_4,816.5,Austria,83.3
AT,2008,F,Y15-19,ED0-2,198.2,Austria,83.3
AT,2008,F,Y50-54,ED5-8,36.8,Austria,83.3
AT,2008,F,Y55-59,ED3_4,131.2,Austria,83.3
AT,2008,F,Y55-59,TOTAL,249.1,Austria,83.3
AT,2008,F,Y15-64,TOTAL,2787.8,Austria,83.3
AT,2008,F,Y65-69,ED3_4,117.4,Austria,83.3
AT,2008,F,Y30-34,ED3_4,166.4,Austria,83.3
AT,2008,F,Y35-39,ED0-2,58.3,Austria,83.3
AT,2008,M,Y35-39,ED0-2,31,Austria,77.7
AT,2008,M,Y15-19,TOTAL,243.7,Austria,77.7
AT,2008,M,Y15-74,ED5-8,535.4,Austria,77.7
AT,2008,M,Y50-59,ED3_4,316.5,Austria,77.7
AT,2008,M,Y40-59,ED5-8,250,Austria,77.7
AT,2008,M,Y40-64,ED3_4,905.8,Austria,77.7
AT,2008,M,Y15-59,ED0-2,518.7,Austria,77.7
AT,2008,M,Y15-59,ED3_4,1607.3,Austria,77.7
AT,2008,M,Y15-39,ED0-2,343.5,Austria,77.7
AT,2008,M,Y50-54,ED5-8,56.5,Austria,77.7
AT,2008,M,Y60-64,TOTAL,210.3,Austria,77.7
AT,2008,M,Y50-59,ED0-2,94.6,Austria,77.7
AT,2008,M,Y20-24,TOTAL,248.9,Austria,77.7
AT,2008,M,Y40-64,ED0-2,217.1,Austria,77.7
AT,2008,M,Y25-54,ED0-2,215.4,Austria,77.7
AT,2008,M,Y55-64,ED3_4,269.9,Austria,77.7
AT,2008,M,Y45-49,TOTAL,334.3,Austria,77.7
AT,2008,M,Y45-49,ED0-2,37.4,Austria,77.7
AT,2008,M,Y20-64,TOTAL,2517.8,Austria,77.7
AT,2008,M,Y55-59,ED0-2,48.3,Austria,77.7
AT,2008,M,Y50-64,TOTAL,723.4,Austria,77.7
AT,2008,M,Y25-74,TOTAL,2622.3,Austria,77.7
AT,2008,M,Y20-64,ED0-2,345.3,Austria,77.7
AT,2008,M,Y20-24,ED5-8,6.5,Austria,77.7
AT,2008,M,Y25-29,ED0-2,32.4,Austria,77.7
AT,2008,M,Y15-74,ED3_4,1925.2,Austria,77.7
AT,2008,M,Y50-54,ED3_4,171.6,Austria,77.7
AT,2008,M,Y25-59,TOTAL,2058.6,Austria,77.7
AT,2008,M,Y15-64,ED5-8,468.5,Austria,77.7
AT,2008,M,Y15-19,ED3_4,28.3,Austria,77.7
AT,2008,M,Y25-59,ED0-2,263.7,Austria,77.7
AT,2008,M,Y30-34,TOTAL,265.7,Austria,77.7
AT,2008,M,Y55-59,TOTAL,238.7,Austria,77.7
AT,2008,M,Y60-64,ED3_4,124.9,Austria,77.7
AT,2008,M,Y50-54,ED0-2,46.3,Austria,77.7
AT,2008,M,Y25-64,TOTAL,2268.9,Austria,77.7
AT,2008,M,Y60-64,ED5-8,43.4,Austria,77.7
AT,2008,M,Y55-64,ED0-2,90.3,Austria,77.7
AT,2008,M,Y40-59,TOTAL,1206,Austria,77.7
AT,2008,M,Y40-59,ED3_4,780.9,Austria,77.7
AT,2008,M,Y15-39,ED3_4,826.5,Austria,77.7
AT,2008,M,Y25-49,ED5-8,316.7,Austria,77.7
AT,2008,M,Y50-74,ED5-8,212.2,Austria,77.7
AT,2008,M,Y20-24,ED3_4,202.7,Austria,77.7
AT,2008,M,Y25-54,ED5-8,373.1,Austria,77.7
AT,2008,M,Y50-74,ED3_4,634.4,Austria,77.7
AT,2008,M,Y40-44,ED3_4,239.9,Austria,77.7
AT,2008,M,Y55-59,ED3_4,144.9,Austria,77.7
AT,2008,M,Y15-39,ED5-8,175.1,Austria,77.7
AT,2008,M,Y25-74,ED0-2,399.3,Austria,77.7
AT,2008,M,Y50-74,TOTAL,1076.8,Austria,77.7
AT,2008,M,Y40-64,TOTAL,1416.4,Austria,77.7
AT,2008,M,Y25-54,ED3_4,1231.4,Austria,77.7
AT,2008,M,Y15-24,ED5-8,6.5,Austria,77.7
AT,2008,M,Y25-39,ED0-2,88.6,Austria,77.7
AT,2008,M,Y35-39,TOTAL,318.2,Austria,77.7
AT,2008,M,Y25-39,ED3_4,595.5,Austria,77.7
AT,2008,M,Y55-64,ED5-8,88.9,Austria,77.7
AT,2008,M,Y45-49,ED5-8,72.6,Austria,77.7
AT,2008,M,Y20-64,ED3_4,1704,Austria,77.7
AT,2008,M,Y65-69,ED3_4,124.6,Austria,77.7
AT,2008,M,Y35-39,ED5-8,70,Austria,77.7
AT,2008,M,Y35-39,ED3_4,217.3,Austria,77.7
AT,2008,M,Y40-64,ED5-8,293.5,Austria,77.7
AT,2008,M,Y15-19,ED0-2,215.3,Austria,77.7
AT,2008,M,Y25-29,ED5-8,40.6,Austria,77.7
AT,2008,M,Y20-24,ED0-2,39.7,Austria,77.7
AT,2008,M,Y25-64,ED0-2,305.7,Austria,77.7
AT,2008,M,Y50-54,TOTAL,274.4,Austria,77.7
AT,2008,M,Y25-29,TOTAL,268.6,Austria,77.7
AT,2008,M,Y25-74,ED3_4,1694.2,Austria,77.7
AT,2008,M,Y50-59,TOTAL,513,Austria,77.7
AT,2008,M,Y50-59,ED5-8,101.9,Austria,77.7
AT,2008,M,Y15-64,TOTAL,2761.5,Austria,77.7
AT,2008,M,Y25-64,ED5-8,462,Austria,77.7
AT,2008,M,Y25-64,ED3_4,1501.3,Austria,77.7
AT,2008,M,Y25-49,TOTAL,1545.6,Austria,77.7
AT,2008,M,Y55-59,ED5-8,45.4,Austria,77.7
AT,2008,M,Y25-54,TOTAL,1819.9,Austria,77.7
AT,2008,M,Y60-64,ED0-2,42,Austria,77.7
AT,2008,M,Y50-64,ED3_4,441.5,Austria,77.7
AT,2008,M,Y40-44,ED5-8,75.5,Austria,77.7
AT,2008,M,Y20-64,ED5-8,468.5,Austria,77.7
AT,2008,M,Y50-74,ED0-2,230.1,Austria,77.7
AT,2008,M,Y55-64,TOTAL,449,Austria,77.7
AT,2008,M,Y45-49,ED3_4,224.4,Austria,77.7
AT,2008,M,Y30-34,ED5-8,58,Austria,77.7
AT,2008,M,Y65-69,TOTAL,221.3,Austria,77.7
AT,2008,M,Y50-64,ED0-2,136.6,Austria,77.7
AT,2008,M,Y25-39,ED5-8,168.6,Austria,77.7
AT,2008,M,Y25-29,ED3_4,195.6,Austria,77.7
AT,2008,M,Y25-74,ED5-8,528.9,Austria,77.7
AT,2008,M,Y15-64,ED3_4,1732.3,Austria,77.7
AT,2008,M,Y15-24,ED3_4,231,Austria,77.7
AT,2008,M,Y50-64,ED5-8,145.3,Austria,77.7
AT,2008,M,Y15-24,ED0-2,255,Austria,77.7
AT,2008,M,Y25-49,ED0-2,169.1,Austria,77.7
AT,2008,M,Y25-49,ED3_4,1059.8,Austria,77.7
AT,2008,M,Y25-39,TOTAL,852.6,Austria,77.7
AT,2008,M,Y25-59,ED3_4,1376.3,Austria,77.7
AT,2008,M,Y15-39,TOTAL,1345.1,Austria,77.7
AT,2008,M,Y25-59,ED5-8,418.6,Austria,77.7
AT,2008,M,Y30-34,ED3_4,182.5,Austria,77.7
AT,2008,M,Y40-59,ED0-2,175.1,Austria,77.7
AT,2008,M,Y15-59,ED5-8,425.1,Austria,77.7
AT,2008,M,Y65-69,ED5-8,43.2,Austria,77.7
AT,2008,M,Y40-44,ED0-2,43.2,Austria,77.7
AT,2008,M,Y15-74,ED0-2,654.2,Austria,77.7
AT,2008,M,Y15-24,TOTAL,492.5,Austria,77.7
AT,2008,M,Y40-44,TOTAL,358.6,Austria,77.7
AT,2008,M,Y30-34,ED0-2,25.2,Austria,77.7
AT,2008,M,Y15-74,TOTAL,3114.9,Austria,77.7
AT,2008,M,Y65-69,ED0-2,53.5,Austria,77.7
AT,2008,M,Y15-64,ED0-2,560.6,Austria,77.7
AT,2008,M,Y15-59,TOTAL,2551.1,Austria,77.7
AT,2009,F,Y20-24,ED3_4,204.1,Austria,83.2
