unit,sex,statinfo,geography,date,value
YR,F,LE_0,CZ,2010,80.9
YR,F,LE_0,DE,2010,83.0
YR,F,LE_0,DK,2010,81.4
YR,F,LE_0,EE,2010,80.8
YR,F,LE_0,EL,2010,83.3
YR,F,LE_0,ES,2010,85.5
YR,F,LE_0,EU27_2020,2010,82.9
YR,F,LE_0,EU28,2010,82.8
YR,F,LE_0,FI,2010,83.5
YR,F,LE_0,FR,2010,85.3
YR,F,LE_0,HR,2010,79.9
YR,F,LE_0,HU,2010,78.6
YR,F,LE_0,IE,2010,83.1
YR,F,LE_0,IS,2010,84.1
YR,F,LE_0,IT,2010,
YR,F,LE_0,LT,2010,78.9
YR,F,LE_0,LU,2010,83.5
YR,F,LE_0,LV,2010,78.0
YR,F,LE_0,MT,2010,83.6
YR,F,LE_0,NL,2010,83.0
YR,F,LE_0,NO,2010,83.3
YR,F,LE_0,PL,2010,80.7
YR,F,LE_0,PT,2010,83.2
YR,F,LE_0,RO,2010,77.7
YR,F,LE_0,SE,2010,83.6
YR,F,LE_0,SI,2010,83.1
YR,F,LE_0,SK,2010,79.3
YR,F,LE_0,UK,2010,82.6
YR,M,LE_0,AT,2010,77.8
YR,M,LE_0,BE,2010,77.5
YR,M,LE_0,BG,2010,70.3
YR,M,LE_0,CH,2010,80.3
YR,M,LE_0,CY,2010,79.2
YR,M,LE_0,CZ,2010,74.5
YR,M,LE_0,DE,2010,78.0
YR,M,LE_0,DK,2010,77.2
YR,M,LE_0,EE,2010,70.9
YR,M,LE_0,EL,2010,78.0
YR,M,LE_0,ES,2010,79.2
YR,M,LE_0,EU27_2020,2010,76.7
YR,M,LE_0,EU28,2010,76.9
YR,M,LE_0,FI,2010,76.9
YR,M,LE_0,FR,2010,78.2
YR,M,LE_0,HR,2010,73.4
YR,M,LE_0,HU,2010,70.7
YR,M,LE_0,IE,2010,78.5
YR,M,LE_0,IS,2010,79.8
YR,M,LE_0,IT,2010,
YR,M,LE_0,LT,2010,67.6
YR,M,LE_0,LU,2010,77.9
YR,M,LE_0,LV,2010,67.9
YR,M,LE_0,MT,2010,79.3
YR,M,LE_0,NL,2010,78.9
YR,M,LE_0,NO,2010,79.0
YR,M,LE_0,PL,2010,72.2
YR,M,LE_0,PT,2010,76.8
YR,M,LE_0,RO,2010,70.0
YR,M,LE_0,SE,2010,79.6
YR,M,LE_0,SI,2010,76.4
YR,M,LE_0,SK,2010,71.8
YR,M,LE_0,UK,2010,78.6
YR,F,LE_0,AT,2011,83.8
YR,F,LE_0,BE,2011,83.3
YR,F,LE_0,BG,2011,77.8
YR,F,LE_0,CH,2011,85.0
YR,F,LE_0,CY,2011,83.1
YR,F,LE_0,CZ,2011,81.1
YR,F,LE_0,DE,2011,83.1
YR,F,LE_0,DK,2011,81.9
YR,F,LE_0,EE,2011,81.3
YR,F,LE_0,EL,2011,83.6
YR,F,LE_0,ES,2011,85.6
YR,F,LE_0,EU27_2020,2011,83.1
YR,F,LE_0,EU28,2011,83.1
YR,F,LE_0,FI,2011,83.8
YR,F,LE_0,FR,2011,85.7
YR,F,LE_0,HR,2011,80.4
YR,F,LE_0,HU,2011,78.7
YR,F,LE_0,IE,2011,83.0
YR,F,LE_0,IS,2011,84.1
YR,F,LE_0,IT,2011,84.8
YR,F,LE_0,LT,2011,79.3
YR,F,LE_0,LU,2011,83.6
YR,F,LE_0,LV,2011,78.8
YR,F,LE_0,MT,2011,83.0
YR,F,LE_0,NL,2011,83.1
YR,F,LE_0,NO,2011,83.6
YR,F,LE_0,PL,2011,81.1
YR,F,LE_0,PT,2011,83.8
YR,F,LE_0,RO,2011,78.2
YR,F,LE_0,SE,2011,83.8
YR,F,LE_0,SI,2011,83.3
YR,F,LE_0,SK,2011,79.8
YR,F,LE_0,UK,2011,83.0
YR,M,LE_0,AT,2011,78.3
YR,M,LE_0,BE,2011,78.0
YR,M,LE_0,BG,2011,70.7
YR,M,LE_0,CH,2011,80.5
YR,M,LE_0,CY,2011,79.3
YR,M,LE_0,CZ,2011,74.8
YR,M,LE_0,DE,2011,77.9
YR,M,LE_0,DK,2011,77.8
YR,M,LE_0,EE,2011,71.4
YR,M,LE_0,EL,2011,78.0
YR,M,LE_0,ES,2011,79.5
YR,M,LE_0,EU27_2020,2011,77.0
YR,M,LE_0,EU28,2011,77.3
YR,M,LE_0,FI,2011,77.3
YR,M,LE_0,FR,2011,78.7
YR,M,LE_0,HR,2011,73.8
YR,M,LE_0,HU,2011,71.2
YR,M,LE_0,IE,2011,78.6
YR,M,LE_0,IS,2011,80.7
YR,M,LE_0,IT,2011,79.7
YR,M,LE_0,LT,2011,68.1
YR,M,LE_0,LU,2011,78.5
YR,M,LE_0,LV,2011,68.6
YR,M,LE_0,MT,2011,78.6
YR,M,LE_0,NL,2011,79.4
YR,M,LE_0,NO,2011,79.1
YR,M,LE_0,PL,2011,72.5
YR,M,LE_0,PT,2011,77.3
YR,M,LE_0,RO,2011,70.8
YR,M,LE_0,SE,2011,79.9
YR,M,LE_0,SI,2011,76.8
YR,M,LE_0,SK,2011,72.3
YR,M,LE_0,UK,2011,79.0
YR,F,LE_0,AT,2012,83.6
YR,F,LE_0,BE,2012,83.1
YR,F,LE_0,BG,2012,77.9
YR,F,LE_0,CH,2012,84.9
YR,F,LE_0,CY,2012,83.4
YR,F,LE_0,CZ,2012,81.2
YR,F,LE_0,DE,2012,83.1
YR,F,LE_0,DK,2012,82.1
YR,F,LE_0,EE,2012,81.5
YR,F,LE_0,EL,2012,83.4
YR,F,LE_0,ES,2012,85.5
YR,F,LE_0,EU27_2020,2012,83.1
YR,F,LE_0,EU28,2012,83.0
YR,F,LE_0,FI,2012,83.7
YR,F,LE_0,FR,2012,85.4
YR,F,LE_0,HR,2012,80.6
YR,F,LE_0,HU,2012,78.7
YR,F,LE_0,IE,2012,83.1
YR,F,LE_0,IS,2012,84.3
YR,F,LE_0,IT,2012,84.8
YR,F,LE_0,LT,2012,79.6
YR,F,LE_0,LU,2012,83.8
YR,F,LE_0,LV,2012,78.9
